file_name,caption,facing_direction,eye_color,hair_color,eyebrow_color,skin_tone
021523.jpg,woman with wavy brown hair smiling,front,blue,brown,brown,light
017650.jpg,young man smiling,front,brown,brown,brown,light
003661.jpg,A woman with dark hair and pink lipstick.,front,brown,dark brown,dark brown,medium
000012.jpg,A smiling man with dark hair and a light skin tone.,front,brown,dark brown,dark brown,light
010649.jpg,Close-up portrait of a woman with dark skin and dark eyes.,front,dark brown,black,dark brown,dark
018778.jpg,A smiling Black man with dark eyes and a mustache.,front,dark brown,black,dark brown,dark
002540.jpg,Close-up portrait of a man with a serious expression.,front,brown,dark brown,dark brown,medium
016302.jpg,Man looking at the camera,front,brown,black,black,medium
002658.jpg,A young woman with blonde hair and light skin.,front,blue,blonde,blonde,light
005112.jpg,"Person with dark skin, dark eyes, and a beard.",front,dark,black,black,dark
004383.jpg,Portrait of a woman with dark hair and skin.,front,dark brown,black,dark brown,dark
014167.jpg,Close-up portrait of a woman with dark eyes and dark hair.,front,dark brown,dark brown,dark brown,medium
019150.jpg,Man with a red beanie,front,brown,black,brown,dark
020549.jpg,A young man with dark hair and a serious expression.,front,brown,dark brown,dark brown,fair
008439.jpg,Close-up portrait of a woman with dark hair and a neutral expression.,front,brown,dark brown,dark brown,medium
009828.jpg,Portrait of a woman with dark hair and light skin.,front,green,dark brown,dark brown,light
015285.jpg,"Woman with dark skin and curly hair, looking surprised.",front,dark brown,dark brown,dark brown,dark
015351.jpg,"A woman with dark hair and eyes, wearing a white top.",front,dark brown,dark brown,dark brown,fair
003741.jpg,Close-up portrait of a woman with dark hair and makeup.,front,brown,black,dark brown,medium
020389.jpg,A man with dark hair and a beard wearing a dark hoodie.,front,dark,dark,dark,fair
012500.jpg,Man with dark eyes and dark hair,front,dark,dark,dark,fair
010066.jpg,A young woman smiling.,front,brown,black,black,fair
006853.jpg,smiling man,front,brown,brown,brown,light
010412.jpg,Man with glasses,front,brown,gray,gray,fair
000108.jpg,Portrait of a woman with blonde hair.,front,blue,blonde,blonde,fair
005388.jpg,man with dark hair and beard,front,dark,dark brown,dark brown,medium
006928.jpg,A man wearing glasses and a light blue shirt with a white collar and a light grey suit jacket.,front,brown,gray,gray,medium
012173.jpg,"A young Asian man with dark eyes and dark hair, smiling.",front,dark brown,black,dark brown,medium
016137.jpg,Man with dark hair and neutral expression.,front,dark,dark,dark,dark
002411.jpg,Portrait of a woman with blonde hair and light skin.,front,blue,blonde,blonde,light
006457.jpg,A man with a smile,front,brown,brown,brown,medium
011988.jpg,A woman with dark hair and makeup.,front,brown,dark brown,dark brown,medium
006051.jpg,A woman with blonde hair and light skin smiling.,front,blue,blonde,blonde,light
020191.jpg,Portrait of a young woman with blonde hair.,front,blue,blonde,blonde,fair
012196.jpg,Portrait of a young woman with light skin and blonde hair.,front,blue,blonde,blonde,light
014963.jpg,A middle-aged man with gray hair is smiling.,front,gray,gray,gray,fair
001063.jpg,"A person with dark eyes and hair, wearing glasses.",front,dark brown,black,black,medium
001366.jpg,A young woman with blonde hair and light skin.,front,blue,blonde,blonde,light
009688.jpg,A young woman with light brown hair and light skin.,front,blue,light brown,brown,light
005459.jpg,Portrait of a woman with dark hair and a neutral expression.,front,brown,black,dark brown,medium
014633.jpg,Portrait of a woman with blonde hair and light skin.,front,blue,blonde,blonde,light
001908.jpg,woman smiling,front,blue,blonde,blonde,fair
006968.jpg,"Close-up of a man with long, curly dark hair and sunglasses.",front,brown,dark brown,dark brown,fair
020930.jpg,man,front,brown,brown,brown,light
012535.jpg,Close-up portrait of a smiling Black man.,front,brown,black,brown,dark
009890.jpg,Portrait of a woman with blonde hair and blue eyes.,front,blue,blonde,blonde,fair
020023.jpg,Woman with dark hair and makeup,front,brown,black,dark brown,medium
007501.jpg,Portrait of a woman with dark hair and makeup.,front,brown,dark brown,dark brown,medium
008693.jpg,Close-up portrait of a woman with dark hair and makeup.,front,brown,dark brown,dark brown,medium
002156.jpg,woman,front,blue,blonde,blonde,fair
018550.jpg,A young woman with dark hair smiling.,front,brown,dark brown,dark brown,medium
011873.jpg,Man with a beard,front,brown,black,dark brown,medium
004063.jpg,"A man with gray hair, glasses, and a mustache.",front,brown,gray,gray,medium
004611.jpg,Man with beard,front,brown,brown,brown,medium
011991.jpg,smiling woman,front,brown,brown,brown,light
010889.jpg,A woman with dark hair and makeup.,front,dark,dark brown,dark brown,medium
012718.jpg,Close-up portrait of a woman with blonde hair and light skin.,front,blue,blonde,blonde,light
005056.jpg,A young woman with dark hair and light skin is smiling.,front,blue,dark brown,dark brown,light
005249.jpg,Man with dark hair and eyes,front,brown,dark brown,dark brown,medium
004820.jpg,A man with long dark hair smiling.,front,brown,dark brown,dark brown,medium
003419.jpg,Close-up portrait of a man with dark eyes and dark hair.,front,dark brown,black,dark brown,medium
006491.jpg,Woman wearing sunglasses,front,brown,brown,brown,fair
018516.jpg,A woman with dark hair and a neutral expression.,front,brown,black,dark brown,medium
001035.jpg,Close-up portrait of a man with a serious expression.,front,brown,dark brown,dark brown,medium
005985.jpg,Man with dark hair and beard,front,dark,dark,dark,medium
020097.jpg,Portrait of a woman with dark hair and light skin.,front,blue,dark brown,dark brown,light
015389.jpg,A man with dark hair and a serious expression.,front,dark brown,dark brown,dark brown,medium
021234.jpg,"A young woman with dark hair and a neutral expression, set against a red background.",front,dark,black,black,fair
008550.jpg,Man wearing sunglasses,front,dark,dark,dark,medium
009950.jpg,Man with dark skin and a black suit,front,dark brown,black,black,dark
013510.jpg,Close-up portrait of a man with a neutral expression.,front,brown,black,black,medium
006133.jpg,Man with sunglasses smiling,front,dark brown,black,black,dark
020671.jpg,"A man with dark eyes and dark hair, wearing a green uniform.",front,dark brown,dark brown,dark brown,dark
004943.jpg,A man with dark skin and sunglasses.,front,dark brown,black,black,dark
014890.jpg,A young woman with blonde hair and light skin.,front,blue,blonde,blonde,light
014715.jpg,A young woman with blonde hair and light skin.,front,blue,blonde,blonde,light
011008.jpg,"A man with a beard, wearing a white shirt and a black suit.",front,brown,brown,brown,fair
002600.jpg,Man wearing a green cap,front,brown,dark brown,dark brown,medium
010987.jpg,Portrait of a woman with blonde hair and blue eyes.,front,blue,blonde,blonde,fair
005604.jpg,Close-up portrait of a woman with light skin and blonde hair.,front,brown,blonde,brown,light
020827.jpg,Close-up portrait of a Black man with a neutral expression.,front,brown,black,brown,dark
012856.jpg,woman smiling,front,brown,brown,brown,light
007356.jpg,Man with dark hair and neutral expression.,front,dark,dark,dark,fair
006381.jpg,woman smiling,front,blue,blonde,blonde,fair
007946.jpg,Man with neutral expression,front,brown,brown,brown,light
015493.jpg,"Close-up portrait of a man with dark skin, wearing a white shirt.",front,brown,black,dark brown,dark
010486.jpg,Portrait of a young woman with light skin and dark hair.,front,blue,dark brown,dark brown,light
