file_name,caption,facing_direction,eye_color,hair_color,eyebrow_color,skin_tone
000001.jpg,"Portrait of a woman with long, wavy brown hair.",front,brown,brown with highlights,brown,fair
000002.jpg,Woman with red hair smiling,front,brown,red,brown,fair
000003.jpg,Close-up portrait of a young man with a neutral expression.,side,blue,brown,brown,fair
000004.jpg,Close-up portrait of a woman with dark hair and a neutral expression.,front,brown,dark brown,dark brown,fair
000005.jpg,Person with styled hair,front,brown,blonde,brown,fair
000006.jpg,Portrait of a woman with wavy blonde hair.,front,brown,blonde,dark brown,fair
000007.jpg,Man with dark hair and eyes,front,brown,dark brown,dark brown,olive
000008.jpg,"Close-up portrait of a man with short, dark hair.",front,brown,dark brown,dark brown,fair
000009.jpg,Close-up portrait of a woman with fair skin and dark hair.,front,brown,dark brown,dark brown,fair
000010.jpg,Close-up portrait of a woman with blonde hair.,front,blue,blonde,blonde,fair
000011.jpg,Portrait of a woman with dark hair and eyes.,front,dark brown,dark brown,dark brown,fair
000012.jpg,A smiling man with dark hair and a light skin tone.,front,brown,dark brown,dark brown,light
000013.jpg,A man with blonde hair and a focused expression.,front,blue,blonde,blonde,fair
000014.jpg,Close-up portrait of a young woman with dark skin and short hair.,front,dark brown,black,dark brown,dark brown
000015.jpg,A man wearing a blue suit and white shirt.,front,brown,brown,brown,fair
000016.jpg,man,front,brown,blond,blond,fair
000017.jpg,A woman smiling and holding a camera.,front,brown,brown,brown,fair
000018.jpg,Woman wearing a leopard print scarf.,front,brown,blonde,brown,fair
000019.jpg,A beautiful woman with long blonde hair.,front,blue,blonde,blonde,fair
000020.jpg,"Close-up portrait of a man with long, wavy brown hair and a beard.",front,brown,brown,brown,fair
000021.jpg,Portrait of a man with gray hair.,front,gray,gray,gray,fair
000022.jpg,A woman with blonde hair looking directly at the camera.,front,blue,blonde,blonde,fair
000023.jpg,Man with short brown hair smiling.,front,brown,brown,brown,fair
000024.jpg,Portrait of a woman with blonde hair.,front,brown,blonde,brown,fair
000025.jpg,Man with short brown hair looking straight at the camera.,front,brown,brown,brown,fair
000026.jpg,A young woman with dark hair and brown eyes.,front,brown,dark brown,dark brown,fair
000027.jpg,A young woman with a slight smile.,front,blue,brown,brown,fair
000028.jpg,"A woman with long, wavy brown hair smiling.",front,brown,brown,brown,light brown
000029.jpg,Portrait of a woman with blonde hair.,front,brown,blonde,brown,fair
000030.jpg,"Close-up portrait of a man with short, light brown hair and a neutral expression.",front,brown,light brown,brown,fair
000031.jpg,woman,front,brown,brown,brown,fair
000032.jpg,"Close-up portrait of a man wearing a white shirt and red tie, looking directly at the camera.",front,brown,brown,brown,fair
000033.jpg,Close-up portrait of a man with neutral expression.,front,brown,brown,brown,fair
000034.jpg,"Close-up portrait of a woman with long, wavy brown hair.",front,brown,brown,brown,fair
000035.jpg,"Portrait of a woman with long, dark hair.",front,brown,dark brown,dark brown,fair
000036.jpg,Close-up of a person's face.,side,brown,dark brown,dark brown,light
000037.jpg,Close-up portrait of a man with a serious expression.,front,brown,dark brown,dark brown,brown
000038.jpg,Smiling man,front,brown,brown,brown,fair
000039.jpg,A young woman with a slight smile.,front,brown,brown,brown,fair
000040.jpg,Portrait of a woman with dark hair and brown eyes.,front,brown,dark brown,dark brown,fair
000041.jpg,A man smiling with a slight side profile.,side,brown,dark brown,dark brown,fair
000042.jpg,Portrait of a woman with blonde hair and a neutral expression.,front,blue,blonde,blonde,fair
000043.jpg,"A woman with long, wavy brown hair smiling.",front,brown,brown,brown,fair
000044.jpg,"A young woman with dark curly hair and a neutral expression, surrounded by pink flowers.",front,dark brown,dark brown,dark brown,dark brown
000045.jpg,Portrait of a woman with brown hair.,front,brown,brown,brown,fair
000046.jpg,A woman with dark hair looking at the camera.,front,brown,black,dark brown,fair
000047.jpg,A woman with dark hair smiling.,front,brown,dark brown,dark brown,fair
000048.jpg,Close-up portrait of a young man with dark hair and a serious expression.,front,dark,dark brown,dark brown,fair
000049.jpg,man,front,brown,brown,brown,fair
000050.jpg,Smiling man,front,brown,brown,brown,fair
000051.jpg,Close-up portrait of an elderly man with gray hair.,front,gray,gray,gray,fair
000052.jpg,"Close-up portrait of a man with short, gray hair.",front,blue,gray,gray,fair
000053.jpg,Tom Cruise,front,brown,dark brown,dark brown,fair
000054.jpg,Portrait of a young woman with blonde hair and a smile.,front,blue,blonde,blonde,fair
000055.jpg,Man with a red tie,front,brown,brown,brown,fair
000056.jpg,Close-up portrait of a person with neutral expression.,front,brown,black,black,fair
000057.jpg,A woman with dark eyes and dark hair.,front,dark brown,dark brown,dark brown,fair
000058.jpg,Portrait of a woman with dark hair and makeup.,front,brown,dark brown,dark brown,fair
000059.jpg,Portrait of a young woman with dark hair.,front,brown,dark brown,dark brown,brown
000060.jpg,Close-up portrait of a man with a patterned head covering.,front,brown,black,brown,brown
000061.jpg,Person with neutral expression,front,brown,dark brown,dark brown,fair
000062.jpg,woman's face,front,brown,brown and blonde,brown,fair
000063.jpg,A woman with blonde hair smiling.,front,brown,blonde,brown,fair
000064.jpg,man,front,brown,brown,brown,fair
000065.jpg,Close-up portrait of a young man smiling.,front,brown,dark brown,dark brown,light
000066.jpg,A woman with fair skin and brown hair smiling.,front,brown,brown,brown,fair
000067.jpg,Close-up portrait of a man with a neutral expression.,front,brown,gray,gray,fair
000068.jpg,Portrait of an elderly man with gray hair and a serious expression.,front,gray,gray,gray,fair
000069.jpg,"A man with short brown hair, wearing a denim shirt, looking slightly down.",front,brown,brown,brown,fair
000070.jpg,Man smiling,front,brown,brown,brown,fair
000071.jpg,Close-up portrait of a woman with blonde hair.,front,blue,blonde,blonde,fair
000072.jpg,Smiling man with dark hair and a light skin tone.,front,brown,black,dark brown,light
000073.jpg,Close-up portrait of a woman with brown hair and brown eyes.,front,brown,brown,brown,fair
000074.jpg,woman with tongue out,front,brown,brown,brown,fair
000075.jpg,A woman with red lipstick and curly hair.,front,brown,red,brown,fair
000076.jpg,Close-up portrait of a man with a slight smile.,front,brown,brown,brown,light
000077.jpg,Portrait of a young woman with dark hair and a gentle smile.,front,brown,dark brown,dark brown,fair
000078.jpg,A young woman with dark hair and red lipstick.,front,brown,black,dark brown,fair
000079.jpg,Close-up portrait of a man with a neutral expression.,front,brown,brown,brown,fair
000080.jpg,Man with dark hair and eyes,front,dark,dark,dark,fair
000081.jpg,A man with dark hair and a smiling expression.,front,brown,dark brown,dark brown,olive
000082.jpg,"A man with short, dark hair smiling.",front,brown,dark brown,dark brown,fair
000083.jpg,Portrait of a woman,front,brown,brown,brown,fair
000084.jpg,A woman with gray hair and earrings.,front,gray,gray,gray,fair
000085.jpg,Portrait of a woman with red hair.,front,green,red,brown,fair
000086.jpg,A young woman is smiling slightly.,front,brown,brown,brown,fair
000087.jpg,"A woman with fair skin, light brown hair, and light brown eyes smiling.",front,light brown,light brown,light brown,fair
000088.jpg,Portrait of a woman with brown hair and a purple scarf.,front,brown,brown,brown,fair
000089.jpg,"Portrait of a woman with long, wavy hair and light skin.",front,blue,dark brown with blonde highlights,dark brown,light
000090.jpg,Close-up portrait of a young man with fair skin and blonde hair.,front,blue,blonde,blonde,fair
000091.jpg,young man with a serious expression,front,brown,brown,brown,fair
000092.jpg,woman with blonde hair,front,brown,blonde,brown,fair
000093.jpg,woman wearing sunglasses,front,brown,brown,brown,olive
000094.jpg,Portrait of an elderly woman,front,brown,gray,gray,fair
000095.jpg,A young woman with a neutral expression wearing a white cap.,front,brown,brown,brown,fair
000096.jpg,Portrait of a woman with dark hair and makeup.,front,brown,dark brown,dark brown,olive
000097.jpg,"Portrait of a young woman with long, wavy hair.",front,brown,brown blonde,brown,fair
000098.jpg,Portrait of a woman with dark hair and eyes.,front,brown,dark brown,dark brown,fair
000099.jpg,A young woman with brown hair smiling.,front,brown,brown,brown,fair
000100.jpg,Portrait of a young person with light skin and blonde hair.,front,brown,blonde,blonde,light
000101.jpg,Portrait of a woman,front,brown,black,black,fair
000102.jpg,Person with long dark hair wearing glasses.,front,brown,dark brown,dark brown,fair
000103.jpg,A young woman with brown hair and brown eyes.,front,brown,brown,brown,fair
000104.jpg,A young man with blonde hair smiling.,front,blue,blonde,blonde,fair
000105.jpg,Young man with blonde hair,front,blue,blonde,blonde,fair
000106.jpg,A young woman with a slight smile.,front,brown,blonde,brown,fair
000107.jpg,"Portrait of a woman with long, wavy brown hair smiling.",front,brown,brown,brown,fair
000108.jpg,Portrait of a woman with blonde hair.,front,blue,blonde,blonde,fair
000109.jpg,Man with reddish-brown hair and beard.,front,brown,reddish-brown,brown,fair
000110.jpg,woman smiling,front,brown,brown,brown,light
000111.jpg,Portrait of a woman with light brown hair and skin.,front,brown,light brown,brown,light
000112.jpg,woman smiling,front,blue,blonde,brown,fair
000113.jpg,man smiling,front,brown,black,brown,fair
000114.jpg,close-up portrait of a young man,front,brown,dark brown,dark brown,fair
000115.jpg,A man with pale skin and no hair.,front,brown,bald,brown,pale
000116.jpg,A young man with brown hair smiling.,front,brown,brown,brown,fair
000117.jpg,Portrait of a woman with dark brown skin and voluminous dark brown curly hair.,front,dark brown,dark brown,dark brown,dark brown
000118.jpg,Close-up portrait of a woman with a slight smile.,front,brown,brown,brown,fair
000119.jpg,Man with red hair and beard wearing glasses.,front,brown,red,brown,fair
000120.jpg,Person's face profile,side,brown,gray,gray,fair
000121.jpg,woman smiling,front,brown,brown,brown,fair
000122.jpg,"Close-up portrait of an elderly woman with short, gray hair and a warm smile.",front,brown,gray,gray,fair
000123.jpg,Man with short dark hair and a neutral expression.,front,dark,dark,dark,fair
000124.jpg,A woman with dark hair and earrings looking to the side.,side,brown,dark brown,dark brown,olive
